     k            crst-ang           q             ang          -t          crst-t
 0.31622485E+01 0.19141872E-06 0.62000000E+01 0.00000000E+00 0.60813354E+01 0.30672316E-07
 0.31722485E+01 0.21066274E-06 0.62000000E+01 0.00000000E+00 0.60459956E+01 0.33649506E-07
 0.31822485E+01 0.23178845E-06 0.62000000E+01 0.00000000E+00 0.60107922E+01 0.36907605E-07
 0.31922485E+01 0.25497027E-06 0.62000000E+01 0.00000000E+00 0.59757247E+01 0.40471660E-07
 0.32022485E+01 0.28039684E-06 0.62000000E+01 0.00000000E+00 0.59407924E+01 0.44368653E-07
 0.32122485E+01 0.30827381E-06 0.62000000E+01 0.00000000E+00 0.59059946E+01 0.48627917E-07
 0.32222485E+01 0.33882427E-06 0.62000000E+01 0.00000000E+00 0.58713307E+01 0.53281157E-07
 0.32322485E+01 0.37228941E-06 0.62000000E+01 0.00000000E+00 0.58367999E+01 0.58362530E-07
 0.32422485E+01 0.40893186E-06 0.62000000E+01 0.00000000E+00 0.58024018E+01 0.63909117E-07
 0.32522485E+01 0.44903602E-06 0.62000000E+01 0.00000000E+00 0.57681356E+01 0.69960939E-07
 0.32622485E+01 0.49291300E-06 0.62000000E+01 0.00000000E+00 0.57340008E+01 0.76561670E-07
 0.32722485E+01 0.54089852E-06 0.62000000E+01 0.00000000E+00 0.56999966E+01 0.83758268E-07
 0.32822485E+01 0.59335790E-06 0.62000000E+01 0.00000000E+00 0.56661224E+01 0.91601680E-07
 0.32922485E+01 0.65068664E-06 0.62000000E+01 0.00000000E+00 0.56323777E+01 0.10014689E-06
 0.33022485E+01 0.71331073E-06 0.62000000E+01 0.00000000E+00 0.55987617E+01 0.10945288E-06
 0.33122485E+01 0.78169560E-06 0.62000000E+01 0.00000000E+00 0.55652739E+01 0.11958396E-06
 0.33222485E+01 0.85633257E-06 0.62000000E+01 0.00000000E+00 0.55319137E+01 0.13060762E-06
 0.33322485E+01 0.93775862E-06 0.62000000E+01 0.00000000E+00 0.54986804E+01 0.14259748E-06
 0.33422485E+01 0.10265517E-05 0.62000000E+01 0.00000000E+00 0.54655734E+01 0.15563249E-06
 0.33522485E+01 0.11233330E-05 0.62000000E+01 0.00000000E+00 0.54325922E+01 0.16979718E-06
 0.33622485E+01 0.12287755E-05 0.62000000E+01 0.00000000E+00 0.53997360E+01 0.18518290E-06
 0.33722485E+01 0.13436028E-05 0.62000000E+01 0.00000000E+00 0.53670044E+01 0.20188753E-06
 0.33822485E+01 0.14686057E-05 0.62000000E+01 0.00000000E+00 0.53343967E+01 0.22001783E-06
 0.33922485E+01 0.16046309E-05 0.62000000E+01 0.00000000E+00 0.53019123E+01 0.23968765E-06
 0.34022485E+01 0.17525965E-05 0.62000000E+01 0.00000000E+00 0.52695506E+01 0.26102017E-06
 0.34122485E+01 0.19134953E-05 0.62000000E+01 0.00000000E+00 0.52373110E+01 0.28414820E-06
 0.34222485E+01 0.20883919E-05 0.62000000E+01 0.00000000E+00 0.52051930E+01 0.30921364E-06
 0.34322485E+01 0.22784346E-05 0.62000000E+01 0.00000000E+00 0.51731959E+01 0.33636904E-06
 0.34422485E+01 0.24848674E-05 0.62000000E+01 0.00000000E+00 0.51413192E+01 0.36577933E-06
 0.34522485E+01 0.27090190E-05 0.62000000E+01 0.00000000E+00 0.51095623E+01 0.39761995E-06
 0.34622485E+01 0.29523224E-05 0.62000000E+01 0.00000000E+00 0.50779247E+01 0.43207955E-06
 0.34722485E+01 0.32163232E-05 0.62000000E+01 0.00000000E+00 0.50464056E+01 0.46936106E-06
 0.34822485E+01 0.35026733E-05 0.62000000E+01 0.00000000E+00 0.50150047E+01 0.50968052E-06
 0.34922485E+01 0.38131670E-05 0.62000000E+01 0.00000000E+00 0.49837213E+01 0.55327221E-06
 0.35022485E+01 0.41497229E-05 0.62000000E+01 0.00000000E+00 0.49525548E+01 0.60038565E-06
 0.35122485E+01 0.45144136E-05 0.62000000E+01 0.00000000E+00 0.49215047E+01 0.65128981E-06
 0.35222485E+01 0.49094611E-05 0.62000000E+01 0.00000000E+00 0.48905704E+01 0.70627202E-06
 0.35322485E+01 0.53372522E-05 0.62000000E+01 0.00000000E+00 0.48597514E+01 0.76564006E-06
 0.35422485E+01 0.58003557E-05 0.62000000E+01 0.00000000E+00 0.48290471E+01 0.82972422E-06
 0.35522485E+01 0.63015351E-05 0.62000000E+01 0.00000000E+00 0.47984570E+01 0.89887891E-06
 0.35622485E+01 0.68437375E-05 0.62000000E+01 0.00000000E+00 0.47679806E+01 0.97348060E-06
 0.35722485E+01 0.74301517E-05 0.62000000E+01 0.00000000E+00 0.47376172E+01 0.10539359E-05
 0.35822485E+01 0.80642034E-05 0.62000000E+01 0.00000000E+00 0.47073663E+01 0.11406803E-05
 0.35922485E+01 0.87495821E-05 0.62000000E+01 0.00000000E+00 0.46772275E+01 0.12341817E-05
 0.36022485E+01 0.94902071E-05 0.62000000E+01 0.00000000E+00 0.46472001E+01 0.13349352E-05
 0.36122485E+01 0.10290359E-04 0.62000000E+01 0.00000000E+00 0.46172836E+01 0.14434810E-05
 0.36222485E+01 0.11154571E-04 0.62000000E+01 0.00000000E+00 0.45874776E+01 0.15603887E-05
 0.36322485E+01 0.12087726E-04 0.62000000E+01 0.00000000E+00 0.45577814E+01 0.16862704E-05
 0.36422485E+01 0.13095099E-04 0.62000000E+01 0.00000000E+00 0.45281946E+01 0.18217860E-05
 0.36522485E+01 0.14182255E-04 0.62000000E+01 0.00000000E+00 0.44987166E+01 0.19676286E-05
 0.36622485E+01 0.15355205E-04 0.62000000E+01 0.00000000E+00 0.44693470E+01 0.21245452E-05
 0.36722485E+01 0.16620420E-04 0.62000000E+01 0.00000000E+00 0.44400851E+01 0.22933382E-05
 0.36822485E+01 0.17984798E-04 0.62000000E+01 0.00000000E+00 0.44109305E+01 0.24748600E-05
 0.36922485E+01 0.19455777E-04 0.62000000E+01 0.00000000E+00 0.43818827E+01 0.26700281E-05
 0.37022485E+01 0.21041286E-04 0.62000000E+01 0.00000000E+00 0.43529411E+01 0.28798169E-05
 0.37122485E+01 0.22749836E-04 0.62000000E+01 0.00000000E+00 0.43241054E+01 0.31052702E-05
 0.37222485E+01 0.24590542E-04 0.62000000E+01 0.00000000E+00 0.42953748E+01 0.33475025E-05
 0.37322485E+01 0.26573242E-04 0.62000000E+01 0.00000000E+00 0.42667490E+01 0.36077145E-05
 0.37422485E+01 0.28708350E-04 0.62000000E+01 0.00000000E+00 0.42382275E+01 0.38871722E-05
 0.37522485E+01 0.31007208E-04 0.62000000E+01 0.00000000E+00 0.42098098E+01 0.41872534E-05
 0.37622485E+01 0.33481797E-04 0.62000000E+01 0.00000000E+00 0.41814953E+01 0.45094071E-05
 0.37722485E+01 0.36145153E-04 0.62000000E+01 0.00000000E+00 0.41532836E+01 0.48552092E-05
 0.37822485E+01 0.39011107E-04 0.62000000E+01 0.00000000E+00 0.41251741E+01 0.52263246E-05
 0.37922485E+01 0.42094580E-04 0.62000000E+01 0.00000000E+00 0.40971665E+01 0.56245471E-05
 0.38022485E+01 0.45411347E-04 0.62000000E+01 0.00000000E+00 0.40692603E+01 0.60517650E-05
 0.38122485E+01 0.48978349E-04 0.62000000E+01 0.00000000E+00 0.40414548E+01 0.65100018E-05
 0.38222485E+01 0.52813716E-04 0.62000000E+01 0.00000000E+00 0.40137498E+01 0.70014175E-05
 0.38322485E+01 0.56936819E-04 0.62000000E+01 0.00000000E+00 0.39861446E+01 0.75283136E-05
 0.38422485E+01 0.61368481E-04 0.62000000E+01 0.00000000E+00 0.39586389E+01 0.80931594E-05
 0.38522485E+01 0.66130921E-04 0.62000000E+01 0.00000000E+00 0.39312321E+01 0.86985817E-05
 0.38622485E+01 0.71248144E-04 0.62000000E+01 0.00000000E+00 0.39039238E+01 0.93474147E-05
 0.38722485E+01 0.76745878E-04 0.62000000E+01 0.00000000E+00 0.38767135E+01 0.10042689E-04
 0.38822485E+01 0.82651497E-04 0.62000000E+01 0.00000000E+00 0.38496008E+01 0.10787618E-04
 0.38922485E+01 0.88994624E-04 0.62000000E+01 0.00000000E+00 0.38225851E+01 0.11585676E-04
