     k            crst-ang           q             ang          -t          crst-t
 0.55100715E+01 0.69678896E-02 0.82000000E+01 0.00000000E+00 0.37040928E+01 0.48448467E-03
 0.55200715E+01 0.74029628E-02 0.82000000E+01 0.00000000E+00 0.36830901E+01 0.51380329E-03
 0.55300715E+01 0.78638066E-02 0.82000000E+01 0.00000000E+00 0.36621494E+01 0.54480124E-03
 0.55400715E+01 0.83519297E-02 0.82000000E+01 0.00000000E+00 0.36412704E+01 0.57757378E-03
 0.55500715E+01 0.88688140E-02 0.82000000E+01 0.00000000E+00 0.36204530E+01 0.61221361E-03
 0.55600715E+01 0.94160775E-02 0.82000000E+01 0.00000000E+00 0.35996969E+01 0.64882214E-03
 0.55700715E+01 0.99954393E-02 0.82000000E+01 0.00000000E+00 0.35790017E+01 0.68750701E-03
 0.55800715E+01 0.10608693E-01 0.82000000E+01 0.00000000E+00 0.35583673E+01 0.72838021E-03
 0.55900715E+01 0.11257703E-01 0.82000000E+01 0.00000000E+00 0.35377935E+01 0.77155772E-03
 0.56000715E+01 0.11944464E-01 0.82000000E+01 0.00000000E+00 0.35172799E+01 0.81716375E-03
 0.56100715E+01 0.12671083E-01 0.82000000E+01 0.00000000E+00 0.34968263E+01 0.86532918E-03
 0.56200715E+01 0.13439710E-01 0.82000000E+01 0.00000000E+00 0.34764325E+01 0.91618691E-03
 0.56300715E+01 0.14252755E-01 0.82000000E+01 0.00000000E+00 0.34560982E+01 0.96988650E-03
 0.56400715E+01 0.15112669E-01 0.82000000E+01 0.00000000E+00 0.34358233E+01 0.10265795E-02
 0.56500715E+01 0.16022013E-01 0.82000000E+01 0.00000000E+00 0.34156073E+01 0.10864235E-02
 0.56600715E+01 0.16983556E-01 0.82000000E+01 0.00000000E+00 0.33954502E+01 0.11495893E-02
 0.56700715E+01 0.18000125E-01 0.82000000E+01 0.00000000E+00 0.33753516E+01 0.12162504E-02
 0.56800715E+01 0.19074836E-01 0.82000000E+01 0.00000000E+00 0.33553114E+01 0.12865985E-02
 0.56900715E+01 0.20210793E-01 0.82000000E+01 0.00000000E+00 0.33353292E+01 0.13608230E-02
 0.57000715E+01 0.21411497E-01 0.82000000E+01 0.00000000E+00 0.33154049E+01 0.14391390E-02
 0.57100715E+01 0.22680337E-01 0.82000000E+01 0.00000000E+00 0.32955382E+01 0.15217523E-02
 0.57200715E+01 0.24021195E-01 0.82000000E+01 0.00000000E+00 0.32757289E+01 0.16089004E-02
 0.57300715E+01 0.25437920E-01 0.82000000E+01 0.00000000E+00 0.32559768E+01 0.17008169E-02
 0.57400715E+01 0.26934623E-01 0.82000000E+01 0.00000000E+00 0.32362816E+01 0.17977513E-02
 0.57500715E+01 0.28515747E-01 0.82000000E+01 0.00000000E+00 0.32166430E+01 0.18999734E-02
 0.57600715E+01 0.30185784E-01 0.82000000E+01 0.00000000E+00 0.31970610E+01 0.20077545E-02
 0.57700715E+01 0.31949675E-01 0.82000000E+01 0.00000000E+00 0.31775351E+01 0.21213937E-02
 0.57800715E+01 0.33812451E-01 0.82000000E+01 0.00000000E+00 0.31580653E+01 0.22411940E-02
 0.57900715E+01 0.35779538E-01 0.82000000E+01 0.00000000E+00 0.31386513E+01 0.23674827E-02
 0.58000715E+01 0.37856453E-01 0.82000000E+01 0.00000000E+00 0.31192928E+01 0.25005905E-02
 0.58100715E+01 0.40049188E-01 0.82000000E+01 0.00000000E+00 0.30999896E+01 0.26408775E-02
 0.58200715E+01 0.42364060E-01 0.82000000E+01 0.00000000E+00 0.30807416E+01 0.27887223E-02
 0.58300715E+01 0.44807497E-01 0.82000000E+01 0.00000000E+00 0.30615484E+01 0.29445085E-02
 0.58400715E+01 0.47386697E-01 0.82000000E+01 0.00000000E+00 0.30424100E+01 0.31086676E-02
 0.58500715E+01 0.50108599E-01 0.82000000E+01 0.00000000E+00 0.30233259E+01 0.32816110E-02
 0.58600715E+01 0.52981379E-01 0.82000000E+01 0.00000000E+00 0.30042962E+01 0.34638283E-02
 0.58700715E+01 0.56012707E-01 0.82000000E+01 0.00000000E+00 0.29853204E+01 0.36557727E-02
 0.58800715E+01 0.59211318E-01 0.82000000E+01 0.00000000E+00 0.29663984E+01 0.38579637E-02
 0.58900715E+01 0.62586178E-01 0.82000000E+01 0.00000000E+00 0.29475300E+01 0.40709323E-02
 0.59000715E+01 0.66146780E-01 0.82000000E+01 0.00000000E+00 0.29287150E+01 0.42952401E-02
 0.59100715E+01 0.69903087E-01 0.82000000E+01 0.00000000E+00 0.29099532E+01 0.45314755E-02
 0.59200715E+01 0.73865780E-01 0.82000000E+01 0.00000000E+00 0.28912443E+01 0.47802691E-02
 0.59300715E+01 0.78045788E-01 0.82000000E+01 0.00000000E+00 0.28725882E+01 0.50422637E-02
 0.59400715E+01 0.82454753E-01 0.82000000E+01 0.00000000E+00 0.28539845E+01 0.53181433E-02
 0.59500715E+01 0.87105118E-01 0.82000000E+01 0.00000000E+00 0.28354332E+01 0.56086392E-02
 0.59600715E+01 0.92009617E-01 0.82000000E+01 0.00000000E+00 0.28169341E+01 0.59144963E-02
 0.59700715E+01 0.97181973E-01 0.82000000E+01 0.00000000E+00 0.27984868E+01 0.62365182E-02
 0.59800715E+01 0.10263651E+00 0.82000000E+01 0.00000000E+00 0.27800912E+01 0.65755415E-02
 0.59900715E+01 0.10838845E+00 0.82000000E+01 0.00000000E+00 0.27617471E+01 0.69324543E-02
 0.60000715E+01 0.11445306E+00 0.82000000E+01 0.00000000E+00 0.27434544E+01 0.73081422E-02
 0.60100715E+01 0.12084833E+00 0.82000000E+01 0.00000000E+00 0.27252127E+01 0.77036586E-02
 0.60200715E+01 0.12759056E+00 0.82000000E+01 0.00000000E+00 0.27070219E+01 0.81199415E-02
 0.60300715E+01 0.13469940E+00 0.82000000E+01 0.00000000E+00 0.26888818E+01 0.85581367E-02
 0.60400715E+01 0.14219363E+00 0.82000000E+01 0.00000000E+00 0.26707922E+01 0.90193260E-02
 0.60500715E+01 0.15009430E+00 0.82000000E+01 0.00000000E+00 0.26527529E+01 0.95047285E-02
 0.60600715E+01 0.15842324E+00 0.82000000E+01 0.00000000E+00 0.26347637E+01 0.10015604E-01
 0.60700715E+01 0.16720273E+00 0.82000000E+01 0.00000000E+00 0.26168244E+01 0.10553234E-01
 0.60800715E+01 0.17645744E+00 0.82000000E+01 0.00000000E+00 0.25989348E+01 0.11119040E-01
 0.60900715E+01 0.18621233E+00 0.82000000E+01 0.00000000E+00 0.25810947E+01 0.11714454E-01
 0.61000715E+01 0.19649401E+00 0.82000000E+01 0.00000000E+00 0.25633040E+01 0.12341001E-01
 0.61100715E+01 0.20733068E+00 0.82000000E+01 0.00000000E+00 0.25455623E+01 0.13000297E-01
 0.61200715E+01 0.21875240E+00 0.82000000E+01 0.00000000E+00 0.25278696E+01 0.13694064E-01
 0.61300715E+01 0.23078962E+00 0.82000000E+01 0.00000000E+00 0.25102256E+01 0.14424034E-01
 0.61400715E+01 0.24347623E+00 0.82000000E+01 0.00000000E+00 0.24926302E+01 0.15192147E-01
 0.61500715E+01 0.25684705E+00 0.82000000E+01 0.00000000E+00 0.24750832E+01 0.16000385E-01
 0.61600715E+01 0.27093719E+00 0.82000000E+01 0.00000000E+00 0.24575843E+01 0.16850736E-01
 0.61700715E+01 0.28578661E+00 0.82000000E+01 0.00000000E+00 0.24401334E+01 0.17745477E-01
 0.61800715E+01 0.30143569E+00 0.82000000E+01 0.00000000E+00 0.24227304E+01 0.18686897E-01
 0.61900715E+01 0.31792605E+00 0.82000000E+01 0.00000000E+00 0.24053749E+01 0.19677343E-01
 0.62000715E+01 0.33530390E+00 0.82000000E+01 0.00000000E+00 0.23880669E+01 0.20719436E-01
 0.62100715E+01 0.35361641E+00 0.82000000E+01 0.00000000E+00 0.23708061E+01 0.21815834E-01
 0.62200715E+01 0.37291239E+00 0.82000000E+01 0.00000000E+00 0.23535924E+01 0.22969283E-01
 0.62300715E+01 0.39324514E+00 0.82000000E+01 0.00000000E+00 0.23364256E+01 0.24182787E-01
 0.62400715E+01 0.41467030E+00 0.82000000E+01 0.00000000E+00 0.23193055E+01 0.25459471E-01
 0.62500715E+01 0.43724544E+00 0.82000000E+01 0.00000000E+00 0.23022319E+01 0.26802562E-01
 0.62600715E+01 0.46103128E+00 0.82000000E+01 0.00000000E+00 0.22852047E+01 0.28215458E-01
 0.62700715E+01 0.48609485E+00 0.82000000E+01 0.00000000E+00 0.22682236E+01 0.29701921E-01
 0.62800715E+01 0.51250330E+00 0.82000000E+01 0.00000000E+00 0.22512885E+01 0.31265695E-01
 0.62900715E+01 0.54032701E+00 0.82000000E+01 0.00000000E+00 0.22343993E+01 0.32910699E-01
 0.63000715E+01 0.56964360E+00 0.82000000E+01 0.00000000E+00 0.22175556E+01 0.34641266E-01
 0.63100715E+01 0.60053065E+00 0.82000000E+01 0.00000000E+00 0.22007575E+01 0.36461700E-01
 0.63200715E+01 0.63307190E+00 0.82000000E+01 0.00000000E+00 0.21840046E+01 0.38376650E-01
 0.63300715E+01 0.66735539E+00 0.82000000E+01 0.00000000E+00 0.21672969E+01 0.40390997E-01
 0.63400715E+01 0.70347160E+00 0.82000000E+01 0.00000000E+00 0.21506341E+01 0.42509738E-01
 0.63500715E+01 0.74152067E+00 0.82000000E+01 0.00000000E+00 0.21340160E+01 0.44738421E-01
 0.63600715E+01 0.78160255E+00 0.82000000E+01 0.00000000E+00 0.21174426E+01 0.47082551E-01
 0.63700715E+01 0.82382816E+00 0.82000000E+01 0.00000000E+00 0.21009136E+01 0.49548252E-01
 0.63800715E+01 0.86830807E+00 0.82000000E+01 0.00000000E+00 0.20844289E+01 0.52141594E-01
 0.63900715E+01 0.91516375E+00 0.82000000E+01 0.00000000E+00 0.20679882E+01 0.54869260E-01
 0.64000715E+01 0.96451774E+00 0.82000000E+01 0.00000000E+00 0.20515915E+01 0.57737956E-01
 0.64100715E+01 0.10165042E+01 0.82000000E+01 0.00000000E+00 0.20352386E+01 0.60755043E-01
 0.64200715E+01 0.10712589E+01 0.82000000E+01 0.00000000E+00 0.20189292E+01 0.63927921E-01
 0.64300715E+01 0.11289265E+01 0.82000000E+01 0.00000000E+00 0.20026633E+01 0.67264492E-01
 0.64400715E+01 0.11896584E+01 0.82000000E+01 0.00000000E+00 0.19864407E+01 0.70772999E-01
 0.64500715E+01 0.12536163E+01 0.82000000E+01 0.00000000E+00 0.19702611E+01 0.74462241E-01
 0.64600715E+01 0.13209667E+01 0.82000000E+01 0.00000000E+00 0.19541245E+01 0.78341263E-01
 0.64700715E+01 0.13918819E+01 0.82000000E+01 0.00000000E+00 0.19380307E+01 0.82419375E-01
 0.64800715E+01 0.14665524E+01 0.82000000E+01 0.00000000E+00 0.19219795E+01 0.86706929E-01
 0.64900715E+01 0.15451682E+01 0.82000000E+01 0.00000000E+00 0.19059707E+01 0.91214165E-01
 0.65000715E+01 0.16279286E+01 0.82000000E+01 0.00000000E+00 0.18900043E+01 0.95951825E-01
 0.65100715E+01 0.17150533E+01 0.82000000E+01 0.00000000E+00 0.18740799E+01 0.10093177E+00
 0.65200715E+01 0.18067576E+01 0.82000000E+01 0.00000000E+00 0.18581976E+01 0.10616553E+00
 0.65300715E+01 0.19032747E+01 0.82000000E+01 0.00000000E+00 0.18423571E+01 0.11166564E+00
 0.65400715E+01 0.20048531E+01 0.82000000E+01 0.00000000E+00 0.18265583E+01 0.11744542E+00
 0.65500715E+01 0.21117362E+01 0.82000000E+01 0.00000000E+00 0.18108009E+01 0.12351782E+00
 0.65600715E+01 0.22241912E+01 0.82000000E+01 0.00000000E+00 0.17950849E+01 0.12989713E+00
 0.65700715E+01 0.23424929E+01 0.82000000E+01 0.00000000E+00 0.17794102E+01 0.13659796E+00
 0.65800715E+01 0.24669223E+01 0.82000000E+01 0.00000000E+00 0.17637764E+01 0.14363520E+00
 0.65900715E+01 0.25977904E+01 0.82000000E+01 0.00000000E+00 0.17481836E+01 0.15102540E+00
 0.66000715E+01 0.27353993E+01 0.82000000E+01 0.00000000E+00 0.17326315E+01 0.15878450E+00
 0.66100715E+01 0.28800823E+01 0.82000000E+01 0.00000000E+00 0.17171200E+01 0.16693014E+00
 0.66200715E+01 0.30321725E+01 0.82000000E+01 0.00000000E+00 0.17016489E+01 0.17547985E+00
 0.66300715E+01 0.31920224E+01 0.82000000E+01 0.00000000E+00 0.16862182E+01 0.18445216E+00
 0.66400715E+01 0.33599920E+01 0.82000000E+01 0.00000000E+00 0.16708275E+01 0.19386593E+00
 0.66500715E+01 0.35364557E+01 0.82000000E+01 0.00000000E+00 0.16554769E+01 0.20374076E+00
 0.66600715E+01 0.37217964E+01 0.82000000E+01 0.00000000E+00 0.16401661E+01 0.21409658E+00
 0.66700715E+01 0.39164236E+01 0.82000000E+01 0.00000000E+00 0.16248950E+01 0.22495476E+00
 0.66800715E+01 0.41207297E+01 0.82000000E+01 0.00000000E+00 0.16096634E+01 0.23633553E+00
 0.66900715E+01 0.43351491E+01 0.82000000E+01 0.00000000E+00 0.15944713E+01 0.24826145E+00
 0.67000715E+01 0.45600998E+01 0.82000000E+01 0.00000000E+00 0.15793184E+01 0.26075397E+00
 0.67100715E+01 0.47960216E+01 0.82000000E+01 0.00000000E+00 0.15642046E+01 0.27383566E+00
 0.67200715E+01 0.50433750E+01 0.82000000E+01 0.00000000E+00 0.15491298E+01 0.28753014E+00
 0.67300715E+01 0.53026138E+01 0.82000000E+01 0.00000000E+00 0.15340938E+01 0.30186053E+00
 0.67400715E+01 0.55742117E+01 0.82000000E+01 0.00000000E+00 0.15190965E+01 0.31685092E+00
 0.67500715E+01 0.58586450E+01 0.82000000E+01 0.00000000E+00 0.15041377E+01 0.33252540E+00
 0.67600715E+01 0.61563801E+01 0.82000000E+01 0.00000000E+00 0.14892174E+01 0.34890737E+00
 0.67700715E+01 0.64678973E+01 0.82000000E+01 0.00000000E+00 0.14743353E+01 0.36602089E+00
 0.67800715E+01 0.67936675E+01 0.82000000E+01 0.00000000E+00 0.14594913E+01 0.38388932E+00
 0.67900715E+01 0.71341429E+01 0.82000000E+01 0.00000000E+00 0.14446853E+01 0.40253484E+00
 0.68000715E+01 0.74898140E+01 0.82000000E+01 0.00000000E+00 0.14299171E+01 0.42198165E+00
 0.68100715E+01 0.78611134E+01 0.82000000E+01 0.00000000E+00 0.14151867E+01 0.44225057E+00
 0.68200715E+01 0.82484707E+01 0.82000000E+01 0.00000000E+00 0.14004938E+01 0.46336211E+00
 0.68300715E+01 0.86523170E+01 0.82000000E+01 0.00000000E+00 0.13858383E+01 0.48533676E+00
 0.68400715E+01 0.90730370E+01 0.82000000E+01 0.00000000E+00 0.13712201E+01 0.50819227E+00
 0.68500715E+01 0.95110127E+01 0.82000000E+01 0.00000000E+00 0.13566391E+01 0.53194615E+00
 0.68600715E+01 0.99665619E+01 0.82000000E+01 0.00000000E+00 0.13420951E+01 0.55661222E+00
 0.68700715E+01 0.10439991E+02 0.82000000E+01 0.00000000E+00 0.13275880E+01 0.58220358E+00
 0.68800715E+01 0.10931558E+02 0.82000000E+01 0.00000000E+00 0.13131177E+01 0.60873059E+00
 0.68900715E+01 0.11441456E+02 0.82000000E+01 0.00000000E+00 0.12986840E+01 0.63619987E+00
 0.69000715E+01 0.11969817E+02 0.82000000E+01 0.00000000E+00 0.12842867E+01 0.66461468E+00
 0.69100715E+01 0.12516697E+02 0.82000000E+01 0.00000000E+00 0.12699259E+01 0.69397404E+00
 0.69200715E+01 0.13082088E+02 0.82000000E+01 0.00000000E+00 0.12556012E+01 0.72427333E+00
 0.69300715E+01 0.13665856E+02 0.82000000E+01 0.00000000E+00 0.12413126E+01 0.75550117E+00
 0.69400715E+01 0.14267764E+02 0.82000000E+01 0.00000000E+00 0.12270600E+01 0.78764040E+00
 0.69500715E+01 0.14887488E+02 0.82000000E+01 0.00000000E+00 0.12128433E+01 0.82066924E+00
 0.69600715E+01 0.15524567E+02 0.82000000E+01 0.00000000E+00 0.11986622E+01 0.85455850E+00
 0.69700715E+01 0.16178439E+02 0.82000000E+01 0.00000000E+00 0.11845168E+01 0.88927360E+00
 0.69800715E+01 0.16848336E+02 0.82000000E+01 0.00000000E+00 0.11704067E+01 0.92476876E+00
 0.69900715E+01 0.17533352E+02 0.82000000E+01 0.00000000E+00 0.11563320E+01 0.96099106E+00
 0.70000715E+01 0.18232443E+02 0.82000000E+01 0.00000000E+00 0.11422925E+01 0.99788019E+00
 0.70100715E+01 0.18944354E+02 0.82000000E+01 0.00000000E+00 0.11282881E+01 0.10353647E+01
 0.70200715E+01 0.19667648E+02 0.82000000E+01 0.00000000E+00 0.11143186E+01 0.10733637E+01
 0.70300715E+01 0.20400607E+02 0.82000000E+01 0.00000000E+00 0.11003839E+01 0.11117813E+01
 0.70400715E+01 0.21141329E+02 0.82000000E+01 0.00000000E+00 0.10864840E+01 0.11505122E+01
 0.70500715E+01 0.21887688E+02 0.82000000E+01 0.00000000E+00 0.10726186E+01 0.11894395E+01
 0.70600715E+01 0.22637314E+02 0.82000000E+01 0.00000000E+00 0.10587876E+01 0.12284340E+01
 0.70700715E+01 0.23387539E+02 0.82000000E+01 0.00000000E+00 0.10449910E+01 0.12673505E+01
 0.70800715E+01 0.24135459E+02 0.82000000E+01 0.00000000E+00 0.10312286E+01 0.13060323E+01
 0.70900715E+01 0.24877819E+02 0.82000000E+01 0.00000000E+00 0.10175002E+01 0.13443047E+01
 0.71000715E+01 0.25611138E+02 0.82000000E+01 0.00000000E+00 0.10038059E+01 0.13819813E+01
 0.71100715E+01 0.26331566E+02 0.82000000E+01 0.00000000E+00 0.99014535E+00 0.14188573E+01
 0.71200715E+01 0.27035110E+02 0.82000000E+01 0.00000000E+00 0.97651854E+00 0.14547213E+01
 0.71300715E+01 0.27717426E+02 0.82000000E+01 0.00000000E+00 0.96292533E+00 0.14893440E+01
 0.71400715E+01 0.28373995E+02 0.82000000E+01 0.00000000E+00 0.94936561E+00 0.15224882E+01
 0.71500715E+01 0.29000112E+02 0.82000000E+01 0.00000000E+00 0.93583925E+00 0.15539080E+01
 0.71600715E+01 0.29590849E+02 0.82000000E+01 0.00000000E+00 0.92234615E+00 0.15833469E+01
 0.71700715E+01 0.30141045E+02 0.82000000E+01 0.00000000E+00 0.90888617E+00 0.16105375E+01
 0.71800715E+01 0.30645284E+02 0.82000000E+01 0.00000000E+00 0.89545921E+00 0.16352000E+01
 0.71900715E+01 0.31098119E+02 0.82000000E+01 0.00000000E+00 0.88206514E+00 0.16570550E+01
 0.72000715E+01 0.31494059E+02 0.82000000E+01 0.00000000E+00 0.86870386E+00 0.16758218E+01
 0.72100715E+01 0.31827622E+02 0.82000000E+01 0.00000000E+00 0.85537524E+00 0.16912221E+01
 0.72200715E+01 0.32093437E+02 0.82000000E+01 0.00000000E+00 0.84207918E+00 0.17029847E+01
 0.72300715E+01 0.32286339E+02 0.82000000E+01 0.00000000E+00 0.82881555E+00 0.17108511E+01
 0.72400715E+01 0.32401691E+02 0.82000000E+01 0.00000000E+00 0.81558425E+00 0.17145922E+01
 0.72500715E+01 0.32435297E+02 0.82000000E+01 0.00000000E+00 0.80238516E+00 0.17140031E+01
 0.72600715E+01 0.32383645E+02 0.82000000E+01 0.00000000E+00 0.78921817E+00 0.17089165E+01
 0.72700715E+01 0.32244161E+02 0.82000000E+01 0.00000000E+00 0.77608317E+00 0.16992153E+01
