     k            crst-ang           q             ang          -t          crst-t
 0.48755964E+01 0.38767441E-02 0.72000000E+01 0.00000000E+00 0.33751047E+01 0.34694190E-03
 0.48855964E+01 0.41604970E-02 0.72000000E+01 0.00000000E+00 0.33526926E+01 0.37157372E-03
 0.48955964E+01 0.44637716E-02 0.72000000E+01 0.00000000E+00 0.33303517E+01 0.39784484E-03
 0.49055964E+01 0.47878320E-02 0.72000000E+01 0.00000000E+00 0.33080820E+01 0.42585766E-03
 0.49155964E+01 0.51339854E-02 0.72000000E+01 0.00000000E+00 0.32858830E+01 0.45571758E-03
 0.49255964E+01 0.55036713E-02 0.72000000E+01 0.00000000E+00 0.32637544E+01 0.48754088E-03
 0.49355964E+01 0.58983168E-02 0.72000000E+01 0.00000000E+00 0.32416959E+01 0.52144179E-03
 0.49455964E+01 0.63195140E-02 0.72000000E+01 0.00000000E+00 0.32197072E+01 0.55754815E-03
 0.49555964E+01 0.67688827E-02 0.72000000E+01 0.00000000E+00 0.31977880E+01 0.59598926E-03
 0.49655964E+01 0.72481876E-02 0.72000000E+01 0.00000000E+00 0.31759381E+01 0.63690605E-03
 0.49755964E+01 0.77592183E-02 0.72000000E+01 0.00000000E+00 0.31541571E+01 0.68044056E-03
 0.49855964E+01 0.83039200E-02 0.72000000E+01 0.00000000E+00 0.31324446E+01 0.72674727E-03
 0.49955964E+01 0.88843679E-02 0.72000000E+01 0.00000000E+00 0.31108005E+01 0.77599078E-03
 0.50055964E+01 0.95026360E-02 0.72000000E+01 0.00000000E+00 0.30892244E+01 0.82833428E-03
 0.50155964E+01 0.10161046E-01 0.72000000E+01 0.00000000E+00 0.30677160E+01 0.88396124E-03
 0.50255964E+01 0.10861962E-01 0.72000000E+01 0.00000000E+00 0.30462750E+01 0.94305725E-03
 0.50355964E+01 0.11607891E-01 0.72000000E+01 0.00000000E+00 0.30249012E+01 0.10058188E-02
 0.50455964E+01 0.12401519E-01 0.72000000E+01 0.00000000E+00 0.30035943E+01 0.10724567E-02
 0.50555964E+01 0.13245685E-01 0.72000000E+01 0.00000000E+00 0.29823538E+01 0.11431926E-02
 0.50655964E+01 0.14143261E-01 0.72000000E+01 0.00000000E+00 0.29611797E+01 0.12182498E-02
 0.50755964E+01 0.15097443E-01 0.72000000E+01 0.00000000E+00 0.29400716E+01 0.12978775E-02
 0.50855964E+01 0.16111445E-01 0.72000000E+01 0.00000000E+00 0.29190291E+01 0.13823244E-02
 0.50955964E+01 0.17188681E-01 0.72000000E+01 0.00000000E+00 0.28980521E+01 0.14718546E-02
 0.51055964E+01 0.18332783E-01 0.72000000E+01 0.00000000E+00 0.28771402E+01 0.15667485E-02
 0.51155964E+01 0.19547567E-01 0.72000000E+01 0.00000000E+00 0.28562932E+01 0.16673003E-02
 0.51255964E+01 0.20836955E-01 0.72000000E+01 0.00000000E+00 0.28355107E+01 0.17738105E-02
 0.51355964E+01 0.22205136E-01 0.72000000E+01 0.00000000E+00 0.28147926E+01 0.18866004E-02
 0.51455964E+01 0.23656475E-01 0.72000000E+01 0.00000000E+00 0.27941385E+01 0.20060035E-02
 0.51555964E+01 0.25195526E-01 0.72000000E+01 0.00000000E+00 0.27735481E+01 0.21323667E-02
 0.51655964E+01 0.26827185E-01 0.72000000E+01 0.00000000E+00 0.27530213E+01 0.22660632E-02
 0.51755964E+01 0.28556278E-01 0.72000000E+01 0.00000000E+00 0.27325576E+01 0.24074572E-02
 0.51855964E+01 0.30388188E-01 0.72000000E+01 0.00000000E+00 0.27121569E+01 0.25569572E-02
 0.51955964E+01 0.32328331E-01 0.72000000E+01 0.00000000E+00 0.26918189E+01 0.27149713E-02
 0.52055964E+01 0.34382422E-01 0.72000000E+01 0.00000000E+00 0.26715433E+01 0.28819294E-02
 0.52155964E+01 0.36556522E-01 0.72000000E+01 0.00000000E+00 0.26513298E+01 0.30582872E-02
 0.52255964E+01 0.38856848E-01 0.72000000E+01 0.00000000E+00 0.26311783E+01 0.32445097E-02
 0.52355964E+01 0.41289915E-01 0.72000000E+01 0.00000000E+00 0.26110883E+01 0.34410834E-02
