     k            crst-ang           q             ang          -t          crst-t
 0.76757540E+01 0.23782993E-01 0.10200000E+02 0.00000000E+00 0.26737314E+01 0.95432248E-03
 0.76857540E+01 0.24829462E-01 0.10200000E+02 0.00000000E+00 0.26589309E+01 0.99501707E-03
 0.76957540E+01 0.25923089E-01 0.10200000E+02 0.00000000E+00 0.26441647E+01 0.10374932E-02
 0.77057540E+01 0.27066243E-01 0.10200000E+02 0.00000000E+00 0.26294329E+01 0.10818388E-02
 0.77157540E+01 0.28261175E-01 0.10200000E+02 0.00000000E+00 0.26147352E+01 0.11281362E-02
 0.77257540E+01 0.29510482E-01 0.10200000E+02 0.00000000E+00 0.26000716E+01 0.11764815E-02
 0.77357540E+01 0.30816661E-01 0.10200000E+02 0.00000000E+00 0.25854419E+01 0.12269663E-02
 0.77457540E+01 0.32182490E-01 0.10200000E+02 0.00000000E+00 0.25708460E+01 0.12796925E-02
 0.77557540E+01 0.33610646E-01 0.10200000E+02 0.00000000E+00 0.25562838E+01 0.13347580E-02
 0.77657540E+01 0.35104315E-01 0.10200000E+02 0.00000000E+00 0.25417552E+01 0.13922799E-02
 0.77757540E+01 0.36666568E-01 0.10200000E+02 0.00000000E+00 0.25272601E+01 0.14523706E-02
 0.77857540E+01 0.38300853E-01 0.10200000E+02 0.00000000E+00 0.25127983E+01 0.15151564E-02
 0.77957540E+01 0.40010367E-01 0.10200000E+02 0.00000000E+00 0.24983698E+01 0.15807533E-02
 0.78057540E+01 0.41799027E-01 0.10200000E+02 0.00000000E+00 0.24839745E+01 0.16493051E-02
 0.78157540E+01 0.43670490E-01 0.10200000E+02 0.00000000E+00 0.24696122E+01 0.17209445E-02
 0.78257540E+01 0.45628895E-01 0.10200000E+02 0.00000000E+00 0.24552828E+01 0.17958227E-02
 0.78357540E+01 0.47678702E-01 0.10200000E+02 0.00000000E+00 0.24409863E+01 0.18741024E-02
 0.78457540E+01 0.49824271E-01 0.10200000E+02 0.00000000E+00 0.24267224E+01 0.19559420E-02
 0.78557540E+01 0.52070614E-01 0.10200000E+02 0.00000000E+00 0.24124912E+01 0.20415241E-02
 0.78657540E+01 0.54422063E-01 0.10200000E+02 0.00000000E+00 0.23982924E+01 0.21310043E-02
 0.78757540E+01 0.56884765E-01 0.10200000E+02 0.00000000E+00 0.23841261E+01 0.22246081E-02
 0.78857540E+01 0.59463553E-01 0.10200000E+02 0.00000000E+00 0.23699920E+01 0.23225086E-02
 0.78957540E+01 0.62164746E-01 0.10200000E+02 0.00000000E+00 0.23558901E+01 0.24249358E-02
 0.79057540E+01 0.64994607E-01 0.10200000E+02 0.00000000E+00 0.23418203E+01 0.25321167E-02
 0.79157540E+01 0.67958973E-01 0.10200000E+02 0.00000000E+00 0.23277824E+01 0.26442603E-02
 0.79257540E+01 0.71065222E-01 0.10200000E+02 0.00000000E+00 0.23137764E+01 0.27616346E-02
 0.79357540E+01 0.74320530E-01 0.10200000E+02 0.00000000E+00 0.22998021E+01 0.28844984E-02
 0.79457540E+01 0.77732450E-01 0.10200000E+02 0.00000000E+00 0.22858595E+01 0.30131235E-02
 0.79557540E+01 0.81309013E-01 0.10200000E+02 0.00000000E+00 0.22719485E+01 0.31477993E-02
 0.79657540E+01 0.85058845E-01 0.10200000E+02 0.00000000E+00 0.22580688E+01 0.32888365E-02
 0.79757540E+01 0.88990900E-01 0.10200000E+02 0.00000000E+00 0.22442206E+01 0.34365569E-02
 0.79857540E+01 0.93114575E-01 0.10200000E+02 0.00000000E+00 0.22304035E+01 0.35912979E-02
 0.79957540E+01 0.97439812E-01 0.10200000E+02 0.00000000E+00 0.22166176E+01 0.37534161E-02
 0.80057540E+01 0.10197768E+00 0.10200000E+02 0.00000000E+00 0.22028628E+01 0.39233095E-02
 0.80157540E+01 0.10673885E+00 0.10200000E+02 0.00000000E+00 0.21891388E+01 0.41013593E-02
 0.80257540E+01 0.11173502E+00 0.10200000E+02 0.00000000E+00 0.21754458E+01 0.42879839E-02
 0.80357540E+01 0.11697871E+00 0.10200000E+02 0.00000000E+00 0.21617834E+01 0.44836313E-02
 0.80457540E+01 0.12248353E+00 0.10200000E+02 0.00000000E+00 0.21481517E+01 0.46887885E-02
 0.80557540E+01 0.12826312E+00 0.10200000E+02 0.00000000E+00 0.21345505E+01 0.49039416E-02
 0.80657540E+01 0.13433235E+00 0.10200000E+02 0.00000000E+00 0.21209797E+01 0.51296217E-02
 0.80757540E+01 0.14070663E+00 0.10200000E+02 0.00000000E+00 0.21074393E+01 0.53663768E-02
 0.80857540E+01 0.14740263E+00 0.10200000E+02 0.00000000E+00 0.20939291E+01 0.56148015E-02
 0.80957540E+01 0.15443783E+00 0.10200000E+02 0.00000000E+00 0.20804491E+01 0.58755169E-02
 0.81057540E+01 0.16183057E+00 0.10200000E+02 0.00000000E+00 0.20669991E+01 0.61491749E-02
 0.81157540E+01 0.16960095E+00 0.10200000E+02 0.00000000E+00 0.20535790E+01 0.64364900E-02
 0.81257540E+01 0.17776912E+00 0.10200000E+02 0.00000000E+00 0.20401888E+01 0.67381758E-02
 0.81357540E+01 0.18635852E+00 0.10200000E+02 0.00000000E+00 0.20268284E+01 0.70550668E-02
 0.81457540E+01 0.19539015E+00 0.10200000E+02 0.00000000E+00 0.20134976E+01 0.73879010E-02
 0.81557540E+01 0.20489078E+00 0.10200000E+02 0.00000000E+00 0.20001963E+01 0.77376306E-02
 0.81657540E+01 0.21488569E+00 0.10200000E+02 0.00000000E+00 0.19869246E+01 0.81051471E-02
 0.81757540E+01 0.22540359E+00 0.10200000E+02 0.00000000E+00 0.19736822E+01 0.84914665E-02
 0.81857540E+01 0.23647390E+00 0.10200000E+02 0.00000000E+00 0.19604691E+01 0.88976275E-02
 0.81957540E+01 0.24812759E+00 0.10200000E+02 0.00000000E+00 0.19472852E+01 0.93247210E-02
 0.82057540E+01 0.26039872E+00 0.10200000E+02 0.00000000E+00 0.19341303E+01 0.97739484E-02
 0.82157540E+01 0.27332213E+00 0.10200000E+02 0.00000000E+00 0.19210045E+01 0.10246536E-01
 0.82257540E+01 0.28693714E+00 0.10200000E+02 0.00000000E+00 0.19079076E+01 0.10743870E-01
 0.82357540E+01 0.30128396E+00 0.10200000E+02 0.00000000E+00 0.18948395E+01 0.11267364E-01
 0.82457540E+01 0.31640447E+00 0.10200000E+02 0.00000000E+00 0.18818001E+01 0.11818488E-01
 0.82557540E+01 0.33234531E+00 0.10200000E+02 0.00000000E+00 0.18687893E+01 0.12398882E-01
 0.82657540E+01 0.34915450E+00 0.10200000E+02 0.00000000E+00 0.18558071E+01 0.13010227E-01
 0.82757540E+01 0.36688479E+00 0.10200000E+02 0.00000000E+00 0.18428533E+01 0.13654375E-01
