     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.62793525E+01 0.45402809E-01 0.89000000E+01 0.00000000E+00 0.10383498E+00 0.33985133E+01 0.32635228E+01 0.25522765E-02
 0.62893525E+01 0.47241646E-01 0.89000000E+01 0.00000000E+00 0.10365007E+00 0.33985133E+01 0.32451882E+01 0.26514225E-02
 0.62993525E+01 0.49154867E-01 0.89000000E+01 0.00000000E+00 0.10346606E+00 0.33985133E+01 0.32269031E+01 0.27544220E-02
 0.63093525E+01 0.51145766E-01 0.89000000E+01 0.00000000E+00 0.10328283E+00 0.33985133E+01 0.32086674E+01 0.28614407E-02
 0.63193525E+01 0.53217508E-01 0.89000000E+01 0.00000000E+00 0.10310029E+00 0.33985133E+01 0.31904809E+01 0.29726365E-02
 0.63293525E+01 0.55373718E-01 0.89000000E+01 0.00000000E+00 0.10291834E+00 0.33985133E+01 0.31723434E+01 0.30881917E-02
 0.63393525E+01 0.57617816E-01 0.89000000E+01 0.00000000E+00 0.10273688E+00 0.33985133E+01 0.31542546E+01 0.32082762E-02
 0.63493525E+01 0.59953733E-01 0.89000000E+01 0.00000000E+00 0.10255581E+00 0.33985133E+01 0.31362145E+01 0.33330870E-02
 0.63593525E+01 0.62385338E-01 0.89000000E+01 0.00000000E+00 0.10237502E+00 0.33985133E+01 0.31182228E+01 0.34628166E-02
 0.63693525E+01 0.64916871E-01 0.89000000E+01 0.00000000E+00 0.10219441E+00 0.33985133E+01 0.31002793E+01 0.35976768E-02
 0.63793525E+01 0.67552354E-01 0.89000000E+01 0.00000000E+00 0.10201388E+00 0.33985133E+01 0.30823839E+01 0.37378661E-02
 0.63893525E+01 0.70296817E-01 0.89000000E+01 0.00000000E+00 0.10183334E+00 0.33985133E+01 0.30645364E+01 0.38836373E-02
 0.63993525E+01 0.73154598E-01 0.89000000E+01 0.00000000E+00 0.10165267E+00 0.33985133E+01 0.30467365E+01 0.40352036E-02
 0.64093525E+01 0.76130718E-01 0.89000000E+01 0.00000000E+00 0.10147177E+00 0.33985133E+01 0.30289842E+01 0.41928143E-02
 0.64193525E+01 0.79230559E-01 0.89000000E+01 0.00000000E+00 0.10129055E+00 0.33985133E+01 0.30112792E+01 0.43567371E-02
 0.64293525E+01 0.82459566E-01 0.89000000E+01 0.00000000E+00 0.10110890E+00 0.33985133E+01 0.29936213E+01 0.45272415E-02
 0.64393525E+01 0.85823490E-01 0.89000000E+01 0.00000000E+00 0.10092672E+00 0.33985133E+01 0.29760104E+01 0.47046121E-02
