     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.36617224E+01 0.27524730E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.53780987E+01 0.35780267E-07
 0.36717224E+01 0.30436809E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.53469430E+01 0.39458013E-07
 0.36817224E+01 0.33638642E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.53159015E+01 0.43490395E-07
 0.36917224E+01 0.37157233E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.52849736E+01 0.47909348E-07
 0.37017224E+01 0.41022001E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.52541589E+01 0.52749571E-07
 0.37117224E+01 0.45264765E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.52234569E+01 0.58048461E-07
 0.37217224E+01 0.49920238E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.51928669E+01 0.63846722E-07
 0.37317224E+01 0.55026025E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.51623884E+01 0.70188303E-07
 0.37417224E+01 0.60622959E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.51320210E+01 0.77120795E-07
 0.37517224E+01 0.66755300E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.51017640E+01 0.84695627E-07
 0.37617224E+01 0.73471013E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.50716170E+01 0.92968370E-07
 0.37717224E+01 0.80822147E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.50415794E+01 0.10199916E-06
 0.37817224E+01 0.88865141E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.50116508E+01 0.11185302E-06
 0.37917224E+01 0.97660906E-06 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.49818306E+01 0.12259991E-06
 0.38017224E+01 0.10727550E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.49521182E+01 0.13431548E-06
 0.38117224E+01 0.11778035E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.49225132E+01 0.14708132E-06
 0.38217224E+01 0.12925294E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.48930152E+01 0.16098568E-06
 0.38317224E+01 0.14177680E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.48636234E+01 0.17612340E-06
 0.38417224E+01 0.15544222E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.48343376E+01 0.19259675E-06
 0.38517224E+01 0.17034678E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.48051571E+01 0.21051589E-06
 0.38617224E+01 0.18659595E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.47760814E+01 0.22999960E-06
 0.38717224E+01 0.20430350E-05 0.66000000E+01 0.00000000E+00 0.19732001E+01 0.24917999E+01 0.47471102E+01 0.25117565E-06
