     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.38200000E+01 0.10574047E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.70933821E+01 0.11442321E-20
 0.38300000E+01 0.12418595E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.70595161E+01 0.13403246E-20
 0.38400000E+01 0.11225105E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.70257720E+01 0.12083576E-20
 0.38500000E+01 0.13177531E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.69921493E+01 0.14148473E-20
 0.38600000E+01 0.15467275E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.69586475E+01 0.16563906E-20
 0.38700000E+01 0.13444171E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.69252660E+01 0.14360161E-20
 0.38800000E+01 0.15772452E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.68920042E+01 0.16803655E-20
 0.38900000E+01 0.13010228E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.68588616E+01 0.13825205E-20
 0.39000000E+01 0.15255420E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.68258376E+01 0.16169472E-20
 0.39100000E+01 0.17884085E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.67929315E+01 0.18907158E-20
 0.39200000E+01 0.13686925E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.67601430E+01 0.14432983E-20
 0.39300000E+01 0.16036106E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.67274714E+01 0.16867186E-20
 0.39400000E+01 0.10936393E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.66949162E+01 0.11473982E-20
 0.39500000E+01 0.12805785E-19 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.66624767E+01 0.13401252E-20
 0.42400000E+01 0.32768090E-18 0.76000000E+01 0.00000000E+00 0.12814474E+01 0.19999148E+01 0.57697636E+01 0.31946372E-19
