     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.35390347E+01 0.16209391E-05 0.65000000E+01 0.00000000E+00 0.46432082E+00 0.34659437E+01 0.55371164E+01 0.22136981E-06
 0.35490347E+01 0.17619065E-05 0.65000000E+01 0.00000000E+00 0.46193505E+00 0.34659437E+01 0.55050078E+01 0.23994357E-06
 0.35590347E+01 0.19145294E-05 0.65000000E+01 0.00000000E+00 0.45956659E+00 0.34659437E+01 0.54730184E+01 0.25999579E-06
 0.35690347E+01 0.20797265E-05 0.65000000E+01 0.00000000E+00 0.45721538E+00 0.34659437E+01 0.54411478E+01 0.28163847E-06
 0.35790347E+01 0.22584876E-05 0.65000000E+01 0.00000000E+00 0.45488137E+00 0.34659437E+01 0.54093953E+01 0.30499190E-06
 0.35890347E+01 0.24518674E-05 0.65000000E+01 0.00000000E+00 0.45256449E+00 0.34659437E+01 0.53777604E+01 0.33018386E-06
 0.35990347E+01 0.26610060E-05 0.65000000E+01 0.00000000E+00 0.45026470E+00 0.34659437E+01 0.53462426E+01 0.35735209E-06
 0.36090347E+01 0.28871349E-05 0.65000000E+01 0.00000000E+00 0.44798193E+00 0.34659437E+01 0.53148413E+01 0.38664512E-06
 0.36190347E+01 0.31315616E-05 0.65000000E+01 0.00000000E+00 0.44571614E+00 0.34659437E+01 0.52835559E+01 0.41821993E-06
 0.36290347E+01 0.33957075E-05 0.65000000E+01 0.00000000E+00 0.44346727E+00 0.34659437E+01 0.52523858E+01 0.45224697E-06
 0.36390347E+01 0.36810846E-05 0.65000000E+01 0.00000000E+00 0.44123527E+00 0.34659437E+01 0.52213306E+01 0.48890684E-06
 0.36490347E+01 0.39893249E-05 0.65000000E+01 0.00000000E+00 0.43902010E+00 0.34659437E+01 0.51903897E+01 0.52839405E-06
 0.36590347E+01 0.43221771E-05 0.65000000E+01 0.00000000E+00 0.43682171E+00 0.34659437E+01 0.51595625E+01 0.57091642E-06
 0.36690347E+01 0.46815223E-05 0.65000000E+01 0.00000000E+00 0.43464005E+00 0.34659437E+01 0.51288484E+01 0.61669693E-06
