     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.56209660E+01 0.19844594E-01 0.83000000E+01 0.00000000E+00 0.10772907E+00 0.34131849E+01 0.36339461E+01 0.13362971E-02
 0.56309660E+01 0.20854672E-01 0.83000000E+01 0.00000000E+00 0.10711576E+00 0.34131849E+01 0.36133692E+01 0.14018199E-02
 0.56409660E+01 0.21912659E-01 0.83000000E+01 0.00000000E+00 0.10650795E+00 0.34131849E+01 0.35928524E+01 0.14703251E-02
 0.56509660E+01 0.23021132E-01 0.83000000E+01 0.00000000E+00 0.10590559E+00 0.34131849E+01 0.35723952E+01 0.15419694E-02
 0.56609660E+01 0.24182058E-01 0.83000000E+01 0.00000000E+00 0.10530860E+00 0.34131849E+01 0.35519976E+01 0.16168677E-02
 0.56709660E+01 0.25398105E-01 0.83000000E+01 0.00000000E+00 0.10471695E+00 0.34131849E+01 0.35316592E+01 0.16951809E-02
 0.56809660E+01 0.26671468E-01 0.83000000E+01 0.00000000E+00 0.10413056E+00 0.34131849E+01 0.35113798E+01 0.17770371E-02
 0.56909660E+01 0.28004989E-01 0.83000000E+01 0.00000000E+00 0.10354939E+00 0.34131849E+01 0.34911592E+01 0.18626068E-02
 0.57009660E+01 0.29401228E-01 0.83000000E+01 0.00000000E+00 0.10297337E+00 0.34131849E+01 0.34709972E+01 0.19520404E-02
 0.57109660E+01 0.30863130E-01 0.83000000E+01 0.00000000E+00 0.10240244E+00 0.34131849E+01 0.34508934E+01 0.20455126E-02
 0.57209660E+01 0.32393493E-01 0.83000000E+01 0.00000000E+00 0.10183654E+00 0.34131849E+01 0.34308477E+01 0.21431876E-02
 0.57309660E+01 0.33995778E-01 0.83000000E+01 0.00000000E+00 0.10127561E+00 0.34131849E+01 0.34108599E+01 0.22452718E-02
 0.57409660E+01 0.35672759E-01 0.83000000E+01 0.00000000E+00 0.10071959E+00 0.34131849E+01 0.33909296E+01 0.23519251E-02
 0.57509660E+01 0.37428234E-01 0.83000000E+01 0.00000000E+00 0.10016842E+00 0.34131849E+01 0.33710567E+01 0.24633737E-02
 0.57609660E+01 0.39265411E-01 0.83000000E+01 0.00000000E+00 0.99622029E-01 0.34131849E+01 0.33512409E+01 0.25798034E-02
 0.57709660E+01 0.41188312E-01 0.83000000E+01 0.00000000E+00 0.99080360E-01 0.34131849E+01 0.33314820E+01 0.27014519E-02
 0.57809660E+01 0.43200501E-01 0.83000000E+01 0.00000000E+00 0.98543348E-01 0.34131849E+01 0.33117798E+01 0.28285258E-02
 0.57909660E+01 0.45306053E-01 0.83000000E+01 0.00000000E+00 0.98010928E-01 0.34131849E+01 0.32921341E+01 0.29612630E-02
 0.58009660E+01 0.47509419E-01 0.83000000E+01 0.00000000E+00 0.97483036E-01 0.34131849E+01 0.32725445E+01 0.30999249E-02
 0.58109660E+01 0.49814742E-01 0.83000000E+01 0.00000000E+00 0.96959605E-01 0.34131849E+01 0.32530110E+01 0.32447506E-02
 0.58209660E+01 0.52226893E-01 0.83000000E+01 0.00000000E+00 0.96440571E-01 0.34131849E+01 0.32335332E+01 0.33960252E-02
 0.58309660E+01 0.54750475E-01 0.83000000E+01 0.00000000E+00 0.95925867E-01 0.34131849E+01 0.32141109E+01 0.35540142E-02
 0.58409660E+01 0.57390468E-01 0.83000000E+01 0.00000000E+00 0.95415427E-01 0.34131849E+01 0.31947440E+01 0.37190059E-02
 0.58509660E+01 0.60152388E-01 0.83000000E+01 0.00000000E+00 0.94909183E-01 0.34131849E+01 0.31754322E+01 0.38913211E-02
 0.58609660E+01 0.63041611E-01 0.83000000E+01 0.00000000E+00 0.94407069E-01 0.34131849E+01 0.31561752E+01 0.40712697E-02
 0.58709660E+01 0.66063787E-01 0.83000000E+01 0.00000000E+00 0.93909017E-01 0.34131849E+01 0.31369729E+01 0.42591769E-02
 0.58809660E+01 0.69225146E-01 0.83000000E+01 0.00000000E+00 0.93414959E-01 0.34131849E+01 0.31178250E+01 0.44554029E-02
 0.58909660E+01 0.72531819E-01 0.83000000E+01 0.00000000E+00 0.92924828E-01 0.34131849E+01 0.30987314E+01 0.46602995E-02
 0.59009660E+01 0.75990570E-01 0.83000000E+01 0.00000000E+00 0.92438555E-01 0.34131849E+01 0.30796918E+01 0.48742563E-02
 0.59109660E+01 0.79608139E-01 0.83000000E+01 0.00000000E+00 0.91956072E-01 0.34131849E+01 0.30607059E+01 0.50976591E-02
 0.59209660E+01 0.83391770E-01 0.83000000E+01 0.00000000E+00 0.91477311E-01 0.34131849E+01 0.30417737E+01 0.53309229E-02
 0.59309660E+01 0.87349122E-01 0.83000000E+01 0.00000000E+00 0.91002203E-01 0.34131849E+01 0.30228948E+01 0.55744867E-02
 0.59409660E+01 0.91488023E-01 0.83000000E+01 0.00000000E+00 0.90530680E-01 0.34131849E+01 0.30040690E+01 0.58287973E-02
 0.59509660E+01 0.95816694E-01 0.83000000E+01 0.00000000E+00 0.90062674E-01 0.34131849E+01 0.29852962E+01 0.60943232E-02
 0.59609660E+01 0.10034373E+00 0.83000000E+01 0.00000000E+00 0.89598117E-01 0.34131849E+01 0.29665761E+01 0.63715540E-02
 0.59709660E+01 0.10507842E+00 0.83000000E+01 0.00000000E+00 0.89136941E-01 0.34131849E+01 0.29479086E+01 0.66610196E-02
 0.59809660E+01 0.11002976E+00 0.83000000E+01 0.00000000E+00 0.88679078E-01 0.34131849E+01 0.29292934E+01 0.69632280E-02
 0.59909660E+01 0.11520803E+00 0.83000000E+01 0.00000000E+00 0.88224460E-01 0.34131849E+01 0.29107302E+01 0.72787646E-02
 0.60009660E+01 0.12062374E+00 0.83000000E+01 0.00000000E+00 0.87773021E-01 0.34131849E+01 0.28922190E+01 0.76082257E-02
 0.60109660E+01 0.12628700E+00 0.83000000E+01 0.00000000E+00 0.87324695E-01 0.34131849E+01 0.28737595E+01 0.79521793E-02
 0.60209660E+01 0.13220981E+00 0.83000000E+01 0.00000000E+00 0.86879415E-01 0.34131849E+01 0.28553515E+01 0.83113062E-02
 0.60309660E+01 0.13840421E+00 0.83000000E+01 0.00000000E+00 0.86437115E-01 0.34131849E+01 0.28369947E+01 0.86862872E-02
 0.60409660E+01 0.14488238E+00 0.83000000E+01 0.00000000E+00 0.85997732E-01 0.34131849E+01 0.28186891E+01 0.90778071E-02
 0.60509660E+01 0.15165747E+00 0.83000000E+01 0.00000000E+00 0.85561200E-01 0.34131849E+01 0.28004343E+01 0.94866060E-02
 0.60609660E+01 0.16225275E+00 0.83000000E+01 0.00000000E+00 0.85127458E-01 0.34131849E+01 0.27822303E+01 0.10132625E-01
 0.60709660E+01 0.16992056E+00 0.83000000E+01 0.00000000E+00 0.84696443E-01 0.34131849E+01 0.27640767E+01 0.10593998E-01
 0.60809660E+01 0.17794769E+00 0.83000000E+01 0.00000000E+00 0.84268093E-01 0.34131849E+01 0.27459734E+01 0.11076219E-01
 0.60909660E+01 0.18635037E+00 0.83000000E+01 0.00000000E+00 0.83842350E-01 0.34131849E+01 0.27279203E+01 0.11580195E-01
 0.61009660E+01 0.19514797E+00 0.83000000E+01 0.00000000E+00 0.83419154E-01 0.34131849E+01 0.27099170E+01 0.12107019E-01
 0.61109660E+01 0.20435900E+00 0.83000000E+01 0.00000000E+00 0.82998448E-01 0.34131849E+01 0.26919634E+01 0.12657726E-01
 0.61209660E+01 0.21400228E+00 0.83000000E+01 0.00000000E+00 0.82580177E-01 0.34131849E+01 0.26740594E+01 0.13233363E-01
 0.61309660E+01 0.22409961E+00 0.83000000E+01 0.00000000E+00 0.82164286E-01 0.34131849E+01 0.26562047E+01 0.13835153E-01
 0.61409660E+01 0.23467266E+00 0.83000000E+01 0.00000000E+00 0.81750723E-01 0.34131849E+01 0.26383991E+01 0.14464305E-01
 0.61509660E+01 0.24574435E+00 0.83000000E+01 0.00000000E+00 0.81339439E-01 0.34131849E+01 0.26206424E+01 0.15122096E-01
 0.61609660E+01 0.25733922E+00 0.83000000E+01 0.00000000E+00 0.80930385E-01 0.34131849E+01 0.26029345E+01 0.15809894E-01
 0.61709660E+01 0.26948126E+00 0.83000000E+01 0.00000000E+00 0.80523514E-01 0.34131849E+01 0.25852751E+01 0.16529023E-01
 0.61809660E+01 0.28219885E+00 0.83000000E+01 0.00000000E+00 0.80118784E-01 0.34131849E+01 0.25676641E+01 0.17281071E-01
 0.61909660E+01 0.29551885E+00 0.83000000E+01 0.00000000E+00 0.79716154E-01 0.34131849E+01 0.25501013E+01 0.18067520E-01
 0.62009660E+01 0.30946981E+00 0.83000000E+01 0.00000000E+00 0.79315585E-01 0.34131849E+01 0.25325865E+01 0.18889946E-01
 0.62109660E+01 0.32408410E+00 0.83000000E+01 0.00000000E+00 0.78917042E-01 0.34131849E+01 0.25151195E+01 0.19750148E-01
 0.62209660E+01 0.33939385E+00 0.83000000E+01 0.00000000E+00 0.78520493E-01 0.34131849E+01 0.24977001E+01 0.20649898E-01
 0.62309660E+01 0.35543190E+00 0.83000000E+01 0.00000000E+00 0.78125910E-01 0.34131849E+01 0.24803282E+01 0.21591002E-01
 0.62409660E+01 0.37223318E+00 0.83000000E+01 0.00000000E+00 0.77733268E-01 0.34131849E+01 0.24630035E+01 0.22575379E-01
 0.62509660E+01 0.38983821E+00 0.83000000E+01 0.00000000E+00 0.77342546E-01 0.34131849E+01 0.24457259E+01 0.23605274E-01
 0.62609660E+01 0.40828265E+00 0.83000000E+01 0.00000000E+00 0.76953727E-01 0.34131849E+01 0.24284952E+01 0.24682625E-01
 0.62709660E+01 0.42761002E+00 0.83000000E+01 0.00000000E+00 0.76566798E-01 0.34131849E+01 0.24113113E+01 0.25809833E-01
 0.62809660E+01 0.44786487E+00 0.83000000E+01 0.00000000E+00 0.76181751E-01 0.34131849E+01 0.23941738E+01 0.26989344E-01
 0.62909660E+01 0.46909043E+00 0.83000000E+01 0.00000000E+00 0.75798584E-01 0.34131849E+01 0.23770827E+01 0.28223509E-01
 0.63009660E+01 0.49133648E+00 0.83000000E+01 0.00000000E+00 0.75417299E-01 0.34131849E+01 0.23600378E+01 0.29515058E-01
 0.63109660E+01 0.51465266E+00 0.83000000E+01 0.00000000E+00 0.75037904E-01 0.34131849E+01 0.23430389E+01 0.30866697E-01
 0.63209660E+01 0.53909221E+00 0.83000000E+01 0.00000000E+00 0.74660413E-01 0.34131849E+01 0.23260858E+01 0.32281327E-01
 0.63309660E+01 0.56471062E+00 0.83000000E+01 0.00000000E+00 0.74284847E-01 0.34131849E+01 0.23091784E+01 0.33761968E-01
 0.63409660E+01 0.59156757E+00 0.83000000E+01 0.00000000E+00 0.73911233E-01 0.34131849E+01 0.22923164E+01 0.35311869E-01
 0.63509660E+01 0.61972359E+00 0.83000000E+01 0.00000000E+00 0.73539604E-01 0.34131849E+01 0.22754998E+01 0.36934312E-01
 0.63609660E+01 0.64924186E+00 0.83000000E+01 0.00000000E+00 0.73170003E-01 0.34131849E+01 0.22587283E+01 0.38632713E-01
 0.63709660E+01 0.68019217E+00 0.83000000E+01 0.00000000E+00 0.72802479E-01 0.34131849E+01 0.22420017E+01 0.40410862E-01
 0.63809660E+01 0.71264408E+00 0.83000000E+01 0.00000000E+00 0.72437092E-01 0.34131849E+01 0.22253200E+01 0.42272509E-01
 0.63909660E+01 0.74667350E+00 0.83000000E+01 0.00000000E+00 0.72073907E-01 0.34131849E+01 0.22086828E+01 0.44221758E-01
 0.64009660E+01 0.78235963E+00 0.83000000E+01 0.00000000E+00 0.71713003E-01 0.34131849E+01 0.21920901E+01 0.46262882E-01
 0.64109660E+01 0.81978147E+00 0.83000000E+01 0.00000000E+00 0.71354466E-01 0.34131849E+01 0.21755417E+01 0.48400115E-01
 0.64209660E+01 0.85903009E+00 0.83000000E+01 0.00000000E+00 0.70998393E-01 0.34131849E+01 0.21590374E+01 0.50638377E-01
 0.64309660E+01 0.90019617E+00 0.83000000E+01 0.00000000E+00 0.70644894E-01 0.34131849E+01 0.21425770E+01 0.52982533E-01
 0.64409660E+01 0.94337259E+00 0.83000000E+01 0.00000000E+00 0.70294090E-01 0.34131849E+01 0.21261605E+01 0.55437549E-01
 0.64509660E+01 0.98866320E+00 0.83000000E+01 0.00000000E+00 0.69946113E-01 0.34131849E+01 0.21097875E+01 0.58009001E-01
 0.64609660E+01 0.10361688E+01 0.83000000E+01 0.00000000E+00 0.69601112E-01 0.34131849E+01 0.20934580E+01 0.60702255E-01
 0.64709660E+01 0.10860051E+01 0.83000000E+01 0.00000000E+00 0.69259245E-01 0.34131849E+01 0.20771718E+01 0.63523515E-01
 0.64809660E+01 0.11382859E+01 0.83000000E+01 0.00000000E+00 0.68920690E-01 0.34131849E+01 0.20609287E+01 0.66478835E-01
 0.64909660E+01 0.11931334E+01 0.83000000E+01 0.00000000E+00 0.68585637E-01 0.34131849E+01 0.20447285E+01 0.69574716E-01
 0.65009660E+01 0.12506731E+01 0.83000000E+01 0.00000000E+00 0.68254295E-01 0.34131849E+01 0.20285712E+01 0.72817825E-01
 0.65109660E+01 0.13110423E+01 0.83000000E+01 0.00000000E+00 0.67926888E-01 0.34131849E+01 0.20124565E+01 0.76215457E-01
 0.65209660E+01 0.13743794E+01 0.83000000E+01 0.00000000E+00 0.67603659E-01 0.34131849E+01 0.19963842E+01 0.79774941E-01
 0.65309660E+01 0.14408324E+01 0.83000000E+01 0.00000000E+00 0.67284873E-01 0.34131849E+01 0.19803543E+01 0.83504103E-01
 0.65409660E+01 0.15105504E+01 0.83000000E+01 0.00000000E+00 0.66970810E-01 0.34131849E+01 0.19643666E+01 0.87410798E-01
 0.65509660E+01 0.15837016E+01 0.83000000E+01 0.00000000E+00 0.66661776E-01 0.34131849E+01 0.19484208E+01 0.91503936E-01
