     k            crst-ang           q             ang            pmin          pmax          -t          crst-t
 0.42588373E+01 0.32947360E-04 0.71000000E+01 0.00000000E+00 0.28718942E+00 0.34471889E+01 0.47078799E+01 0.34231118E-05
 0.42688373E+01 0.35930001E-04 0.71000000E+01 0.00000000E+00 0.28561266E+00 0.34471889E+01 0.46807724E+01 0.37242526E-05
 0.42788373E+01 0.39169946E-04 0.71000000E+01 0.00000000E+00 0.28404762E+00 0.34471889E+01 0.46537578E+01 0.40505940E-05
 0.42888373E+01 0.42688052E-04 0.71000000E+01 0.00000000E+00 0.28249430E+00 0.34471889E+01 0.46268356E+01 0.44041112E-05
 0.42988373E+01 0.46505966E-04 0.71000000E+01 0.00000000E+00 0.28095267E+00 0.34471889E+01 0.46000055E+01 0.47868429E-05
 0.43088373E+01 0.50647364E-04 0.71000000E+01 0.00000000E+00 0.27942272E+00 0.34471889E+01 0.45732668E+01 0.52010169E-05
 0.43188373E+01 0.55137282E-04 0.71000000E+01 0.00000000E+00 0.27790443E+00 0.34471889E+01 0.45466194E+01 0.56489798E-05
 0.43288373E+01 0.60002277E-04 0.71000000E+01 0.00000000E+00 0.27639780E+00 0.34471889E+01 0.45200627E+01 0.61332121E-05
 0.43388373E+01 0.65271531E-04 0.71000000E+01 0.00000000E+00 0.27490279E+00 0.34471889E+01 0.44935962E+01 0.66564388E-05
 0.43488373E+01 0.70975713E-04 0.71000000E+01 0.00000000E+00 0.27341942E+00 0.34471889E+01 0.44672197E+01 0.72215116E-05
 0.43588373E+01 0.77149533E-04 0.71000000E+01 0.00000000E+00 0.27194766E+00 0.34471889E+01 0.44409327E+01 0.78316659E-05
 0.43688373E+01 0.83828384E-04 0.71000000E+01 0.00000000E+00 0.27048750E+00 0.34471889E+01 0.44147348E+01 0.84901769E-05
 0.43788373E+01 0.91051185E-04 0.71000000E+01 0.00000000E+00 0.26903895E+00 0.34471889E+01 0.43886256E+01 0.92006456E-05
 0.43888373E+01 0.98859061E-04 0.71000000E+01 0.00000000E+00 0.26760198E+00 0.34471889E+01 0.43626046E+01 0.99668635E-05
 0.43988373E+01 0.10729588E-03 0.71000000E+01 0.00000000E+00 0.26617659E+00 0.34471889E+01 0.43366715E+01 0.10792863E-04
 0.44088373E+01 0.11640801E-03 0.71000000E+01 0.00000000E+00 0.26476278E+00 0.34471889E+01 0.43108259E+01 0.11682891E-04
 0.44188373E+01 0.12624555E-03 0.71000000E+01 0.00000000E+00 0.26336055E+00 0.34471889E+01 0.42850674E+01 0.12641529E-04
 0.44288373E+01 0.13686065E-03 0.71000000E+01 0.00000000E+00 0.26196989E+00 0.34471889E+01 0.42593956E+01 0.13673522E-04
 0.44388373E+01 0.14831014E-03 0.71000000E+01 0.00000000E+00 0.26059080E+00 0.34471889E+01 0.42338100E+01 0.14784040E-04
 0.44488373E+01 0.16065357E-03 0.71000000E+01 0.00000000E+00 0.25922327E+00 0.34471889E+01 0.42083103E+01 0.15978477E-04
 0.44588373E+01 0.17395410E-03 0.71000000E+01 0.00000000E+00 0.25786732E+00 0.34471889E+01 0.41828962E+01 0.17262534E-04
 0.44688373E+01 0.18827848E-03 0.71000000E+01 0.00000000E+00 0.25652294E+00 0.34471889E+01 0.41575671E+01 0.18642221E-04
 0.44788373E+01 0.20369806E-03 0.71000000E+01 0.00000000E+00 0.25519014E+00 0.34471889E+01 0.41323228E+01 0.20123945E-04
 0.44888373E+01 0.22029212E-03 0.71000000E+01 0.00000000E+00 0.25386891E+00 0.34471889E+01 0.41071629E+01 0.21714839E-04
 0.44988373E+01 0.23814021E-03 0.71000000E+01 0.00000000E+00 0.25255928E+00 0.34471889E+01 0.40820869E+01 0.23421999E-04
 0.45088373E+01 0.25733226E-03 0.71000000E+01 0.00000000E+00 0.25126123E+00 0.34471889E+01 0.40570945E+01 0.25253477E-04
 0.45188373E+01 0.27795915E-03 0.71000000E+01 0.00000000E+00 0.24997479E+00 0.34471889E+01 0.40321853E+01 0.27217347E-04
 0.45288373E+01 0.30012170E-03 0.71000000E+01 0.00000000E+00 0.24869996E+00 0.34471889E+01 0.40073590E+01 0.29322580E-04
 0.45388373E+01 0.32392169E-03 0.71000000E+01 0.00000000E+00 0.24743675E+00 0.34471889E+01 0.39826151E+01 0.31578168E-04
 0.45488373E+01 0.34946995E-03 0.71000000E+01 0.00000000E+00 0.24618518E+00 0.34471889E+01 0.39579533E+01 0.33993897E-04
 0.45588373E+01 0.37688308E-03 0.71000000E+01 0.00000000E+00 0.24494526E+00 0.34471889E+01 0.39333733E+01 0.36580030E-04
 0.45688373E+01 0.40628398E-03 0.71000000E+01 0.00000000E+00 0.24371701E+00 0.34471889E+01 0.39088746E+01 0.39347353E-04
 0.45788373E+01 0.43780286E-03 0.71000000E+01 0.00000000E+00 0.24250044E+00 0.34471889E+01 0.38844569E+01 0.42307259E-04
 0.45888373E+01 0.47157642E-03 0.71000000E+01 0.00000000E+00 0.24129557E+00 0.34471889E+01 0.38601198E+01 0.45471673E-04
 0.45988373E+01 0.50775246E-03 0.71000000E+01 0.00000000E+00 0.24010242E+00 0.34471889E+01 0.38358630E+01 0.48853480E-04
 0.46088373E+01 0.54647933E-03 0.71000000E+01 0.00000000E+00 0.23892102E+00 0.34471889E+01 0.38116861E+01 0.52465507E-04
 0.46188373E+01 0.58792343E-03 0.71000000E+01 0.00000000E+00 0.23775138E+00 0.34471889E+01 0.37875887E+01 0.56322200E-04
 0.46288373E+01 0.63225063E-03 0.71000000E+01 0.00000000E+00 0.23659354E+00 0.34471889E+01 0.37635706E+01 0.60437831E-04
 0.46388373E+01 0.67964148E-03 0.71000000E+01 0.00000000E+00 0.23544751E+00 0.34471889E+01 0.37396312E+01 0.64827944E-04
 0.46488373E+01 0.73028961E-03 0.71000000E+01 0.00000000E+00 0.23431333E+00 0.34471889E+01 0.37157704E+01 0.69509200E-04
 0.46588373E+01 0.11276412E-02 0.71000000E+01 0.00000000E+00 0.23319103E+00 0.34471889E+01 0.36919877E+01 0.10709887E-03
